periodo,cod_ibge,municipio,media
"2015-2017","2206605","Monte Alegre do Piauí","61.666666666666664"
"2015-2017","2206654","Morro Cabeça no Tempo","17.333333333333332"
"2015-2017","2206670","Morro do Chapéu do Piauí","5"
"2015-2017","2206696","Murici dos Portelas","5"
"2015-2017","2206704","Nazaré do Piauí","61.333333333333336"
"2015-2017","2206720","Nazária","13.666666666666666"
"2015-2017","2206753","Nossa Senhora de Nazaré","6.333333333333333"
"2015-2017","2206803","Nossa Senhora dos Remédios","21.333333333333332"
"2015-2017","2207959","Nova Santa Rita","65.33333333333333"
"2015-2017","2206902","Novo Oriente do Piauí","7.666666666666667"
"2015-2017","2206951","Novo Santo Antônio","3.3333333333333335"
"2015-2017","2207009","Oeiras","364"
"2015-2017","2207108","Olho D'Água do Piauí","1.6666666666666667"
"2015-2017","9999999","OUTROS","31.333333333333332"
"2015-2017","2207207","Padre Marcos","83"
"2015-2017","2207306","Paes Landim","46.333333333333336"
"2015-2017","2207355","Pajeú do Piauí","35.666666666666664"
"2015-2017","2207405","Palmeira do Piauí","19.333333333333332"
"2015-2017","2207504","Palmeirais","15"
"2015-2017","2207553","Paquetá","13.333333333333334"
"2015-2017","2207603","Parnaguá","27.333333333333332"
"2015-2017","2207702","Parnaíba","1579"
"2015-2017","2207751","Passagem Franca do Piauí","4.333333333333333"
"2015-2017","2207777","Patos do Piauí","6.666666666666667"
"2015-2017","2207793","Pau D'Arco do Piauí","5"
"2015-2017","2207801","Paulistana","87"
"2015-2017","2207850","Pavussu","75"
"2015-2017","2207900","Pedro II","197.33333333333334"
"2015-2017","2207934","Pedro Laurentino","3.6666666666666665"
"2015-2017","2208007","Picos","828.3333333333334"
"2015-2017","2208106","Pimenteiras","23"
"2015-2017","2208205","Pio IX","89"
"2015-2017","2208304","Piracuruca","36.333333333333336"
"2015-2017","2208403","Piripiri","376"
"2015-2017","2208502","Porto","74.66666666666667"
"2015-2017","2208551","Porto Alegre do Piauí","3"
"2015-2017","2208601","Prata do Piauí","38.666666666666664"
"2015-2017","2208650","Queimada Nova","16.666666666666668"
"2015-2017","2208700","Redenção do Gurguéia","38.333333333333336"
"2015-2017","2208809","Regeneração","43"
"2015-2017","2208858","Riacho Frio","8"
"2015-2017","2208874","Ribeira do Piauí","6.666666666666667"
"2015-2017","2208908","Ribeiro Gonçalves","12"
"2015-2017","2209005","Rio Grande do Piauí","52.333333333333336"
"2015-2017","2209104","Santa Cruz do Piauí","18"
"2015-2017","2209153","Santa Cruz dos Milagres","11.666666666666666"
"2015-2017","2209203","Santa Filomena","49.333333333333336"
"2015-2017","2209302","Santa Luz","42"
"2015-2017","2209377","Santa Rosa do Piauí","19.333333333333332"
"2015-2017","2209351","Santana do Piauí","6.333333333333333"
"2015-2017","2209401","Santo Antônio de Lisboa","10.333333333333334"
"2015-2017","2209450","Santo Antônio dos Milagres","2"
"2015-2017","2209500","Santo Inácio do Piauí","7"
"2015-2017","2209559","São Braz do Piauí","25.666666666666668"
"2015-2017","2209609","São Félix do Piauí","15.333333333333334"
"2015-2017","2209658","São Francisco de Assis do Piauí","36"
"2015-2017","2209708","São Francisco do Piauí","84"
"2015-2017","2209757","São Gonçalo do Gurguéia","32.666666666666664"
"2015-2017","2209807","São Gonçalo do Piauí","10.333333333333334"
"2015-2017","2209856","São João da Canabrava","3"
"2015-2017","2209872","São João da Fronteira","5.666666666666667"
"2015-2017","2209906","São João da Serra","7.666666666666667"
"2015-2017","2209955","São João da Varjota","22.333333333333332"
"2015-2017","2209971","São João do Arraial","6"
"2015-2017","2210003","São João do Piauí","93"
"2015-2017","2210052","São José do Divino","4.333333333333333"
"2015-2017","2210102","São José do Peixe","16.333333333333332"
"2015-2017","2210201","São José do Piauí","9.666666666666666"
"2015-2017","2210300","São Julião","23.666666666666668"
"2015-2017","2210359","São Lourenço do Piauí","97"
"2015-2017","2210375","São Luis do Piauí","4.666666666666667"
"2015-2017","2210383","São Miguel da Baixa Grande","13.666666666666666"
"2015-2017","2210391","São Miguel do Fidalgo","15"
"2015-2017","2210409","São Miguel do Tapuio","114"
"2015-2017","2210508","São Pedro do Piauí","21"
"2015-2017","2210607","São Raimundo Nonato","699.3333333333334"
"2015-2017","2210623","Sebastião Barros","33"
"2015-2017","2210631","Sebastião Leal","8.666666666666666"
"2015-2017","2210656","Sigefredo Pacheco","103"
"2015-2017","2210706","Simões","43.666666666666664"
"2015-2017","2210805","Simplício Mendes","118.66666666666667"
"2015-2017","2210904","Socorro do Piauí","4.666666666666667"
"2015-2017","2210938","Sussuapara","5.666666666666667"
"2015-2017","2210953","Tamboril do Piauí","2"
"2015-2017","2210979","Tanque do Piauí","7.666666666666667"
"2015-2017","2211001","Teresina","9585.666666666666"
"2015-2017","2211100","União","43.666666666666664"
"2015-2017","2211209","Uruçuí","262"
"2015-2017","2211308","Valença do Piauí","177.33333333333334"
"2015-2017","2211357","Várzea Branca","8"
"2015-2017","2211407","Várzea Grande","11.666666666666666"
"2015-2017","2211506","Vera Mendes","8"
"2015-2017","2211605","Vila Nova do Piauí","3.3333333333333335"
"2015-2017","2211704","Wall Ferraz","12.666666666666666"
