periodo,cod_ibge,municipio,media
"2015-2017","2200053","Acauã","4.333333333333333"
"2015-2017","2200103","Agricolândia","4.333333333333333"
"2015-2017","2200202","Água Branca","43.333333333333336"
"2015-2017","2200251","Alagoinha do Piauí","20"
"2015-2017","2200277","Alegrete do Piauí","8"
"2015-2017","2200301","Alto Longá","15.333333333333334"
"2015-2017","2200400","Altos","58.333333333333336"
"2015-2017","2200459","Alvorada do Gurguéia","5"
"2015-2017","2200509","Amarante","43.666666666666664"
"2015-2017","2200608","Angical do Piauí","6.666666666666667"
"2015-2017","2200707","Anísio de Abreu","53.333333333333336"
"2015-2017","2200806","Antônio Almeida","8.666666666666666"
"2015-2017","2200905","Aroazes","12"
"2015-2017","2200954","Aroeiras do Itaim","1.3333333333333333"
"2015-2017","2201002","Arraial","11.666666666666666"
"2015-2017","2201051","Assunção do Piauí","4.333333333333333"
"2015-2017","2201101","Avelino Lopes","46"
"2015-2017","2201150","Baixa Grande do Ribeiro","17.333333333333332"
"2015-2017","2201176","Barra D'Alcântara","26.333333333333332"
"2015-2017","2201200","Barras","170"
"2015-2017","2201309","Barreiras do Piauí","62.333333333333336"
"2015-2017","2201408","Barro Duro","16"
"2015-2017","2201507","Batalha","57"
"2015-2017","2201556","Bela Vista do Piauí","11.666666666666666"
"2015-2017","2201572","Belém do Piauí","3.6666666666666665"
"2015-2017","2201606","Beneditinos","6"
"2015-2017","2201705","Bertolínia","74.33333333333333"
"2015-2017","2201739","Betânia do Piauí","41.333333333333336"
"2015-2017","2201770","Boa Hora","12.333333333333334"
"2015-2017","2201804","Bocaina","25"
"2015-2017","2201903","Bom Jesus","272.3333333333333"
"2015-2017","2201919","Bom Princípio do Piauí","7"
"2015-2017","2201929","Bonfim do Piauí","82"
"2015-2017","2201945","Boqueirão do Piauí","21.333333333333332"
"2015-2017","2201960","Brasileira","16.333333333333332"
"2015-2017","2201988","Brejo do Piauí","17.333333333333332"
"2015-2017","2202000","Buriti dos Lopes","62.666666666666664"
"2015-2017","2202026","Buriti dos Montes","13.666666666666666"
"2015-2017","2202059","Cabeceiras do Piauí","10.333333333333334"
"2015-2017","2202075","Cajazeiras do Piauí","11.333333333333334"
"2015-2017","2202083","Cajueiro da Praia","42.666666666666664"
"2015-2017","2202091","Caldeirão Grande do Piauí","25.333333333333332"
"2015-2017","2202109","Campinas do Piauí","23"
"2015-2017","2202117","Campo Alegre do Fidalgo","94.66666666666667"
"2015-2017","2202133","Campo Grande do Piauí","7.333333333333333"
"2015-2017","2202174","Campo Largo do Piauí","5.333333333333333"
"2015-2017","2202208","Campo Maior","169.33333333333334"
"2015-2017","2202251","Canavieira","7.666666666666667"
"2015-2017","2202307","Canto do Buriti","20.333333333333332"
"2015-2017","2202406","Capitão de Campos","12.333333333333334"
"2015-2017","2202455","Capitão Gervásio Oliveira","58"
"2015-2017","2202505","Caracol","175"
"2015-2017","2202539","Caraúbas do Piauí","17"
"2015-2017","2202554","Caridade do Piauí","16.666666666666668"
"2015-2017","2202604","Castelo do Piauí","92.66666666666667"
"2015-2017","2202653","Caxingó","15.333333333333334"
"2015-2017","2202703","Cocal","41.333333333333336"
"2015-2017","2202711","Cocal de Telha","7.333333333333333"
"2015-2017","2202729","Cocal dos Alves","53"
"2015-2017","2202737","Coivaras","7.666666666666667"
"2015-2017","2202752","Colônia do Gurguéia","27.333333333333332"
"2015-2017","2202778","Colônia do Piauí","26.666666666666668"
"2015-2017","2202802","Conceição do Canindé","12.666666666666666"
"2015-2017","2202851","Coronel José Dias","38.666666666666664"
"2015-2017","2202901","Corrente","178.66666666666666"
"2015-2017","2203008","Cristalândia do Piauí","68"
"2015-2017","2203107","Cristino Castro","28.666666666666668"
"2015-2017","2203206","Curimatá","27.333333333333332"
"2015-2017","2203230","Currais","112.66666666666667"
"2015-2017","2203271","Curral Novo do Piauí","42.333333333333336"
"2015-2017","2203255","Curralinhos","19"
"2015-2017","2203305","Demerval Lobão","49.333333333333336"
"2015-2017","2203354","Dirceu Arcoverde","88.33333333333333"
"2015-2017","2203404","Dom Expedito Lopes","14.666666666666666"
"2015-2017","2203453","Dom Inocêncio","3.3333333333333335"
"2015-2017","2203420","Domingos Mourão","31.666666666666668"
"2015-2017","2203503","Elesbão Veloso","121.66666666666667"
"2015-2017","2203602","Eliseu Martins","22.666666666666668"
"2015-2017","2203701","Esperantina","24.333333333333332"
"2015-2017","2203750","Fartura do Piauí","98.66666666666667"
"2015-2017","2203800","Flores do Piauí","18.333333333333332"
"2015-2017","2203859","Floresta do Piauí","6"
"2015-2017","2203909","Floriano","559.6666666666666"
"2015-2017","2204006","Francinópolis","12.666666666666666"
"2015-2017","2204105","Francisco Ayres","8"
"2015-2017","2204154","Francisco Macedo","6.333333333333333"
"2015-2017","2204204","Francisco Santos","4.666666666666667"
"2015-2017","2204303","Fronteiras","205"
"2015-2017","2204352","Geminiano","7"
"2015-2017","2204402","Gilbués","31.333333333333332"
"2015-2017","2204501","Guadalupe","67.66666666666667"
"2015-2017","2204550","Guaribas","131"
"2015-2017","2204600","Hugo Napoleão","2.6666666666666665"
"2015-2017","2204659","Ilha Grande","8.666666666666666"
"2015-2017","2204709","Inhuma","42.666666666666664"
"2015-2017","2204808","Ipiranga do Piauí","26.333333333333332"
"2015-2017","2204907","Isaías Coelho","18.333333333333332"
"2015-2017","2205003","Itainópolis","11"
"2015-2017","2205102","Itaueira","147"
"2015-2017","2205151","Jacobina do Piauí","60.333333333333336"
"2015-2017","2205201","Jaicós","53.333333333333336"
"2015-2017","2205250","Jardim do Mulato","2.6666666666666665"
"2015-2017","2205276","Jatobá do Piauí","3.3333333333333335"
"2015-2017","2205300","Jerumenha","18.666666666666668"
"2015-2017","2205359","João Costa","5.666666666666667"
"2015-2017","2205409","Joaquim Pires","16"
"2015-2017","2205458","Joca Marques","4.333333333333333"
"2015-2017","2205508","José de Freitas","65.33333333333333"
"2015-2017","2205516","Juazeiro do Piauí","6"
"2015-2017","2205524","Júlio Borges","20.666666666666668"
"2015-2017","2205532","Jurema","14.333333333333334"
"2015-2017","2205557","Lagoa Alegre","12.333333333333334"
"2015-2017","2205573","Lagoa de São Francisco","2.3333333333333335"
"2015-2017","2205565","Lagoa do Barro do Piauí","2.6666666666666665"
"2015-2017","2205581","Lagoa do Piauí","4.333333333333333"
"2015-2017","2205599","Lagoa do Sítio","8"
"2015-2017","2205540","Lagoinha do Piauí","5"
"2015-2017","2205607","Landri Sales","14.666666666666666"
"2015-2017","2205706","Luís Correia","84"
"2015-2017","2205805","Luzilândia","223"
"2015-2017","2205854","Madeiro","100"
"2015-2017","2205904","Manoel Emídio","21"
"2015-2017","2205953","Marcolândia","100"
"2015-2017","2206001","Marcos Parente","5.666666666666667"
"2015-2017","2206050","Massapê do Piauí","6.333333333333333"
"2015-2017","2206100","Matias Olímpio","85"
"2015-2017","2206209","Miguel Alves","33"
"2015-2017","2206308","Miguel Leão","4.333333333333333"
"2015-2017","2206357","Milton Brandão","4"
"2015-2017","2206407","Monsenhor Gil","22"
"2015-2017","2206506","Monsenhor Hipólito","28"
