ESTBAN (Documento 4500) por municipio ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de geracao dos dados: 2023-07-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;";";CODMUN_IBGE
202212;PI;8978;BOM JESUS;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;127874;127874;0;0;0;0;40868790;0;40868790;0;30976880;30192840;125421;542768;0;0;0;115851;0;0;0;0;0;0;71973544;23352035;1330398;13955468;0;13955468;0;0;0;0;0;0;0;327;327;12866887;0;20468430;25221978;-4753548;71973544;2201903
202212;PI;8978;BOM JESUS;60746948;BCO BRADESCO S.A.;1;1;2293086;2293086;0;0;0;0;21168233;0;21142080;26153;42471168;2963157;0;39297923;0;0;0;210088;0;0;0;0;0;0;65932487;5339274;25822471;24942410;0;24942410;0;2341710;0;2341710;0;0;0;0;0;1685444;0;5801178;6641148;-839970;65932487;2201903
202212;PI;9496;ESPERANTINA;00000000;BCO DO BRASIL S.A.;1;1;1865462;1865462;0;0;0;0;60903876;34889;60868986;0;73915582;61352935;808829;1205935;0;3800334;96791;6650757;0;0;0;0;24379;0;136709299;16906860;99796347;8089162;0;8089162;0;5177710;0;5177709;0;0;0;8897;8897;1637386;0;5092939;10059353;-4966414;136709299;2203701
202212;PI;9496;ESPERANTINA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2820422;2820422;0;0;0;0;4536;0;0;4536;64310244;43003907;34038;125799;0;14987520;69636;8409064;-2319720;0;0;0;0;0;67135202;4189258;58517933;198036;0;198036;0;172235;760;171475;0;0;0;8297;8297;3233081;0;816361;5188128;-4371768;67135202;2203701
202212;PI;9496;ESPERANTINA;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;250785;250785;0;0;0;0;0;0;0;0;31573075;31172193;299066;45800;0;0;0;56015;0;0;0;0;0;0;31823860;9368600;2489906;3516261;0;3516261;0;10306265;0;10306265;0;0;0;117;117;477198;0;5665513;7909969;-2244455;31823860;2203701
202212;PI;9496;ESPERANTINA;60746948;BCO BRADESCO S.A.;1;1;2355013;2355013;0;0;0;0;12915085;0;12915085;0;1165731;876678;0;258697;0;0;0;30356;0;0;0;0;0;0;16435828;1562576;8768519;1736911;0;1736911;0;2793406;0;2793406;0;0;0;0;0;149534;0;1424880;1950010;-525130;16435828;2203701
202212;PI;10588;CANTO DO BURITI;00000000;BCO DO BRASIL S.A.;1;1;1554914;1554914;0;0;0;0;2997141;17019;2978280;1842;92625381;70133762;3122914;9224598;1;2689600;30374;7424132;0;0;0;0;18138;0;97195574;9441516;46010832;4316645;0;4316645;0;27808761;0;27808761;0;0;0;15348;15348;1140386;0;8462086;10999438;-2537352;97195574;2202307
202212;PI;10588;CANTO DO BURITI;00360305;CAIXA ECONOMICA FEDERAL;1;1;1937152;1937152;0;0;0;0;-7028996;313768;0;-7342764;38123203;22977063;29384;77778;0;17075025;83963;0;-2120010;0;0;0;0;0;33031359;1700537;27304666;96082;0;96082;0;62207;140;62066;0;0;0;6019;6019;2629527;0;1232321;3531146;-2298825;33031359;2202307
202212;PI;10588;CANTO DO BURITI;60746948;BCO BRADESCO S.A.;1;1;1290404;1290404;0;0;0;0;25355730;0;25355255;475;2384422;1090822;0;1226735;0;0;0;66864;0;0;0;0;0;0;29030555;2132927;15734490;7393258;0;7393258;0;1300000;0;1300000;0;0;0;0;0;68965;0;2400916;2867178;-466262;29030555;2202307
202212;PI;10739;PARNAIBA;00000000;BCO DO BRASIL S.A.;2;2;10142873;9477163;665710;0;0;0;328436227;1514;328434712;0;565301736;429221954;20855510;13079952;0;42110069;599643;59434608;0;0;0;0;107014;9166667;913154517;84227349;202480521;76998944;0;76998944;0;490892139;0;490892140;0;0;0;150595;150595;10878950;0;47526019;64676612;-17150593;913154517;2207702
202212;PI;10739;PARNAIBA;00360305;CAIXA ECONOMICA FEDERAL;2;2;8742389;8742389;0;0;0;0;-115853927;878649;0;-116732575;532467965;151619839;424475;101531;0;406440429;2978046;0;-29096355;0;0;0;0;0;425356427;13892483;354165654;12258713;0;12258713;0;667320;29720;637601;0;0;0;74533;74533;30431843;0;13865879;36146683;-22280803;425356427;2207702
202212;PI;10739;PARNAIBA;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;356858;356858;0;0;0;0;0;0;0;0;47753508;39247466;7485052;857869;0;0;0;163121;0;0;0;0;0;0;48110366;9226563;7643350;4708591;0;4708591;0;12871640;0;12871640;0;0;0;939;939;191635;0;13467650;17593690;-4126040;48110366;2207702
