"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Careiro (AM)","2010","25066","17377","4397","2784","403","105"
"Careiro da Várzea (AM)","2010","18865","13290","2630","2432","386","128"
"Coari (AM)","2010","57724","39946","7984","7777","1739","279"
"Codajás (AM)","2010","17565","12477","2108","2590","373","17"
"Eirunepé (AM)","2010","22171","16255","2326","2855","684","50"
"Envira (AM)","2010","11932","9304","1133","1140","302","52"
"Fonte Boa (AM)","2010","16488","12416","1943","1787","296","46"
"Guajará (AM)","2010","10137","7814","1065","1018","212","28"
"Humaitá (AM)","2010","34401","22981","4494","5370","1301","254"
"Ipixuna (AM)","2010","15176","11761","1432","1688","213","82"
"Iranduba (AM)","2010","30923","20718","4909","4408","786","102"
"Itacoatiara (AM)","2010","66688","40405","11206","12272","2421","383"
"Itamarati (AM)","2010","5767","5039","383","234","111","-"
"Itapiranga (AM)","2010","6248","3565","1098","1374","206","5"
"Japurá (AM)","2010","5353","4288","651","280","105","29"
"Juruá (AM)","2010","7743","6150","715","737","108","32"
"Jutaí (AM)","2010","12166","9553","1398","893","237","85"
"Lábrea (AM)","2010","28129","21554","2859","2881","580","256"
"Manacapuru (AM)","2010","65169","42789","10068","10647","1356","309"
"Manaquiri (AM)","2010","16934","11364","3216","1970","233","150"
"Manaus (AM)","2010","1474404","605576","260377","480697","112230","15524"
"Manicoré (AM)","2010","35688","24996","5104","4411","929","248"
"Maraã (AM)","2010","12411","9496","1543","1081","147","145"
"Maués (AM)","2010","37996","26100","5994","4327","1185","390"
"Nhamundá (AM)","2010","13851","9299","2203","1824","315","210"
"Nova Olinda do Norte (AM)","2010","23232","17037","3058","2374","503","260"
"Novo Airão (AM)","2010","11150","7866","1348","1501","404","32"
"Novo Aripuanã (AM)","2010","16384","11767","1885","2371","332","29"
"Parintins (AM)","2010","77504","42589","15608","15660","3361","285"
"Pauini (AM)","2010","13032","10145","923","1579","255","131"
"Presidente Figueiredo (AM)","2010","21125","12392","3765","4191","678","99"
"Rio Preto da Eva (AM)","2010","20151","12397","3707","3605","313","128"
"Santa Isabel do Rio Negro (AM)","2010","12519","9211","1509","1363","237","199"
"Santo Antônio do Içá (AM)","2010","17491","13588","1838","1695","219","151"
"São Gabriel da Cachoeira (AM)","2010","28177","18417","4384","4354","740","282"
"São Paulo de Olivença (AM)","2010","22866","16678","2809","3015","257","108"
"São Sebastião do Uatumã (AM)","2010","7889","5321","1294","1167","103","4"
"Silves (AM)","2010","6189","3642","1276","1005","239","28"
"Tabatinga (AM)","2010","38335","23285","6159","7457","1307","127"
"Tapauá (AM)","2010","14011","10849","1575","1268","278","41"
"Tefé (AM)","2010","45301","28726","6772","7467","2132","203"
"Tonantins (AM)","2010","12266","9025","1688","1233","321","-"
"Uarini (AM)","2010","8314","6434","732","853","139","155"
"Urucará (AM)","2010","12568","7399","2293","2436","282","159"
"Urucurituba (AM)","2010","13426","9022","2238","1870","206","90"
"Amajari (RR)","2010","6432","5131","559","631","48","64"
"Alto Alegre (RR)","2010","11547","8543","1247","1402","258","96"
"Boa Vista (RR)","2010","229760","92404","40120","75577","20066","1592"
"Bonfim (RR)","2010","7776","5235","1203","1024","237","77"
"Cantá (RR)","2010","10522","7130","1478","1474","311","129"
"Caracaraí (RR)","2010","14156","9070","2184","2471","413","18"
"Caroebe (RR)","2010","6273","4031","1091","910","222","19"
"Iracema (RR)","2010","6767","4805","959","798","156","49"
"Mucajaí (RR)","2010","11689","7648","1555","1966","428","92"
"Normandia (RR)","2010","5953","3916","782","901","128","225"
"Pacaraima (RR)","2010","7426","4501","1168","1451","204","102"
"Rorainópolis (RR)","2010","19200","12497","3000","2705","664","335"
"São João da Baliza (RR)","2010","5305","3110","812","1085","224","75"
"São Luiz (RR)","2010","5602","3221","861","1113","238","169"
"Uiramutã (RR)","2010","5269","4356","598","260","36","19"
"Abaetetuba (PA)","2010","113916","71406","17764","20766","3334","645"
"Abel Figueiredo (PA)","2010","5410","3731","964","594","121","-"
"Acará (PA)","2010","40926","33576","4262","2489","447","152"
"Afuá (PA)","2010","25480","21356","2187","1532","385","20"
"Água Azul do Norte (PA)","2010","20651","15820","3160","1194","125","352"
"Alenquer (PA)","2010","39784","29238","5462","4154","732","198"
"Almeirim (PA)","2010","25825","15970","3595","4866","1249","146"
