"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Barra de Guabiraba (PE)","2010","10411","7481","1308","1295","145","182"
"Barreiros (PE)","2010","33250","21696","4458","5938","951","207"
"Belém de Maria (PE)","2010","9185","6761","1135","1162","117","10"
"Belém do São Francisco (PE)","2010","16275","10143","2180","2992","888","73"
"Belo Jardim (PE)","2010","60771","40457","7954","9081","2785","494"
"Betânia (PE)","2010","9738","7559","1051","901","226","-"
"Bezerros (PE)","2010","50276","35831","6697","6223","1373","152"
"Bodocó (PE)","2010","28207","20558","3439","3485","601","124"
"Bom Conselho (PE)","2010","36944","27830","3607","4448","1011","48"
"Bom Jardim (PE)","2010","32070","22251","4658","4404","617","140"
"Bonito (PE)","2010","30828","23365","3461","3159","827","16"
"Brejão (PE)","2010","7301","5471","951","737","142","-"
"Brejinho (PE)","2010","6086","4453","759","681","190","3"
"Brejo da Madre de Deus (PE)","2010","36759","28777","3905","3053","710","315"
"Buenos Aires (PE)","2010","10410","7458","1149","1607","175","22"
"Buíque (PE)","2010","40726","32445","4346","2892","693","349"
"Cabo de Santo Agostinho (PE)","2010","155710","83144","24757","42185","4156","1468"
"Cabrobó (PE)","2010","24751","16568","3565","3952","585","81"
"Cachoeirinha (PE)","2010","15794","11915","1741","1827","256","55"
"Caetés (PE)","2010","21529","17114","2632","1500","242","42"
"Calçado (PE)","2010","9098","6892","955","1088","149","14"
"Calumbi (PE)","2010","4659","3543","493","545","72","5"
"Camaragibe (PE)","2010","123483","62517","21319","34353","4729","564"
"Camocim de São Félix (PE)","2010","14346","10576","1800","1652","306","11"
"Camutanga (PE)","2010","6830","4654","892","1065","212","6"
"Canhotinho (PE)","2010","20283","15729","1847","2279","406","22"
"Capoeiras (PE)","2010","16147","12690","1799","1466","181","10"
"Carnaíba (PE)","2010","15383","10933","2040","1908","430","72"
"Carnaubeira da Penha (PE)","2010","9095","6237","1355","1325","147","32"
"Carpina (PE)","2010","63414","34580","9402","15939","3203","290"
"Caruaru (PE)","2010","265208","152960","42018","54256","14550","1425"
"Casinhas (PE)","2010","11411","8317","1706","1221","166","1"
"Catende (PE)","2010","30864","19815","4675","5291","928","155"
"Cedro (PE)","2010","8829","5658","1387","1507","268","9"
"Chã de Alegria (PE)","2010","10293","7055","1164","1891","163","20"
"Chã Grande (PE)","2010","16857","12755","1691","1972","393","44"
"Condado (PE)","2010","20067","12929","3183","3352","513","90"
"Correntes (PE)","2010","14316","11228","1154","1570","339","24"
"Cortês (PE)","2010","10107","7295","1232","1311","201","68"
"Cumaru (PE)","2010","14633","10796","1969","1480","361","27"
"Cupira (PE)","2010","19669","14145","2573","2362","544","45"
"Custódia (PE)","2010","28300","20318","3560","3327","972","123"
"Dormentes (PE)","2010","13793","9853","1693","1873","279","95"
"Escada (PE)","2010","52790","32658","8366","10302","1021","443"
"Exu (PE)","2010","25552","18265","3293","3315","551","129"
"Feira Nova (PE)","2010","17187","13047","1931","1851","347","12"
"Fernando de Noronha (PE)","2010","2246","665","749","624","178","31"
"Ferreiros (PE)","2010","9569","6738","1114","1392","287","38"
"Flores (PE)","2010","18394","14193","2142","1594","386","78"
"Floresta (PE)","2010","23483","14354","3291","4656","1066","116"
"Frei Miguelinho (PE)","2010","12196","9522","1558","905","196","14"
"Gameleira (PE)","2010","22754","14833","2772","4531","246","371"
"Garanhuns (PE)","2010","107418","62994","16407","20784","7101","134"
"Glória do Goitá (PE)","2010","24178","17256","3031","3363","508","19"
"Goiana (PE)","2010","63133","35957","10237","14263","2462","214"
"Granito (PE)","2010","5548","3842","816","750","94","47"
"Gravatá (PE)","2010","64717","43742","9360","9613","1921","81"
"Iati (PE)","2010","14622","11901","1425","1055","198","43"
"Ibimirim (PE)","2010","21628","16090","2486","2619","239","194"
"Ibirajuba (PE)","2010","6243","4716","615","802","67","43"
"Igarassu (PE)","2010","85835","47566","13498","22113","2218","440"
"Iguaracy (PE)","2010","9889","7037","1625","990","214","24"
"Inajá (PE)","2010","14661","10987","1747","1507","302","117"
"Ingazeira (PE)","2010","3770","2536","564","546","90","33"
"Ipojuca (PE)","2010","65231","42316","9682","11354","1325","554"
"Ipubi (PE)","2010","22029","16830","2509","2296","332","61"
"Itacuruba (PE)","2010","3469","2204","400","743","122","-"
"Itaíba (PE)","2010","21205","17499","1859","1459","347","41"
"Ilha de Itamaracá (PE)","2010","18699","11361","3246","3530","534","28"
"Itambé (PE)","2010","29274","21207","3433","3748","636","250"
"Itapetim (PE)","2010","11835","8578","1392","1514","337","14"
"Itapissuma (PE)","2010","19620","12142","3404","3536","362","175"
"Itaquitinga (PE)","2010","12792","8873","1687","1978","199","55"
"Jaboatão dos Guararapes (PE)","2010","547455","260452","95882","154560","31357","5204"
"Jaqueira (PE)","2010","9215","6695","1184","1123","183","29"
"Jataúba (PE)","2010","12877","10455","1106","1078","189","49"
"Jatobá (PE)","2010","11535","7176","1830","2059","418","53"
"João Alfredo (PE)","2010","25883","19287","3869","2178","481","68"
"Joaquim Nabuco (PE)","2010","12704","9462","1614","1390","166","72"
"Jucati (PE)","2010","8588","6473","1191","816","98","10"
"Jupi (PE)","2010","11294","8204","1619","1167","292","12"
"Jurema (PE)","2010","11738","9691","1096","847","83","22"
"Lagoa do Carro (PE)","2010","13317","9361","1677","2059","195","27"
"Lagoa de Itaenga (PE)","2010","17093","12230","2418","2132","302","12"
"Lagoa do Ouro (PE)","2010","9884","8014","833","842","159","37"
"Lagoa dos Gatos (PE)","2010","12795","10179","1094","1214","203","106"
"Lagoa Grande (PE)","2010","18053","12259","2611","2773","401","9"
"Lajedo (PE)","2010","30359","21192","4491","3722","914","40"
"Limoeiro (PE)","2010","47498","28250","7102","9826","1747","573"
"Macaparana (PE)","2010","20079","14115","2553","2877","524","10"
"Machados (PE)","2010","11065","7870","1364","1629","130","71"
"Manari (PE)","2010","13837","11519","1276","655","131","256"
"Maraial (PE)","2010","9767","7490","1158","905","130","84"
"Mirandiba (PE)","2010","11553","7719","1630","1927","228","49"
"Moreno (PE)","2010","47884","28805","7800","9642","1330","307"
"Nazaré da Mata (PE)","2010","26240","15616","3826","5613","1088","96"
"Olinda (PE)","2010","325443","137303","56758","100359","28942","2081"
"Orobó (PE)","2010","19231","13386","2725","2707","382","29"
"Orocó (PE)","2010","10550","7046","1497","1752","243","12"
"Ouricuri (PE)","2010","51275","37948","6067","5773","1200","289"
"Palmares (PE)","2010","49097","30247","6960","9646","1879","365"
"Palmeirina (PE)","2010","6724","5039","671","807","185","22"
"Panelas (PE)","2010","20952","16475","2084","1924","368","100"
"Paranatama (PE)","2010","8934","6980","878","918","101","57"
"Parnamirim (PE)","2010","16363","11289","1842","2625","470","138"
"Passira (PE)","2010","24185","17673","3180","2868","370","94"
"Paudalho (PE)","2010","42392","27131","6365","7599","1195","102"
"Paulista (PE)","2010","257939","102213","49360","89953","15101","1311"
"Pedra (PE)","2010","16934","12577","1749","2096","502","10"
"Pesqueira (PE)","2010","51911","34764","7111","7866","1875","295"
"Petrolândia (PE)","2010","25987","16467","3914","4513","1028","65"
"Petrolina (PE)","2010","240136","126536","38434","58675","15141","1351"
"Poção (PE)","2010","9142","7228","729","975","198","13"
"Pombos (PE)","2010","20432","14623","3160","2172","437","40"
"Primavera (PE)","2010","10977","7948","1382","1382","222","43"
"Quipapá (PE)","2010","19495","15270","2062","1665","289","210"
"Quixaba (PE)","2010","5607","4109","857","525","107","10"
"Recife (PE)","2010","1336198","528739","220897","387467","191911","7183"
"Riacho das Almas (PE)","2010","16151","12718","1699","1465","244","25"
"Ribeirão (PE)","2010","36766","23547","5642","6500","935","142"
"Rio Formoso (PE)","2010","18128","11994","2487","3237","375","36"
"Sairé (PE)","2010","9528","7383","1115","929","72","28"
"Salgadinho (PE)","2010","7910","6084","712","956","80","78"
"Salgueiro (PE)","2010","46233","27467","6782","9279","2376","329"
"Saloá (PE)","2010","12622","9738","1502","1217","146","18"
"Sanharó (PE)","2010","17922","12364","2803","2251","445","59"
"Santa Cruz (PE)","2010","10888","8297","1233","1079","179","99"
"Santa Cruz da Baixa Verde (PE)","2010","9783","6713","1473","1376","207","15"
"Santa Cruz do Capibaribe (PE)","2010","72352","48730","12133","9622","1459","409"
"Santa Filomena (PE)","2010","10772","8496","1037","980","206","52"
"Santa Maria da Boa Vista (PE)","2010","30996","21434","4307","4320","691","244"
"Santa Maria do Cambucá (PE)","2010","10758","8728","1089","784","151","7"
"Santa Terezinha (PE)","2010","8984","6206","1153","1348","229","47"
"São Benedito do Sul (PE)","2010","11655","8984","1040","1381","163","86"
"São Bento do Una (PE)","2010","43062","31685","5484","4465","901","528"
"São Caitano (PE)","2010","29091","21503","4091","2846","547","104"
"São João (PE)","2010","17442","13316","2094","1523","361","148"
"São Joaquim do Monte (PE)","2010","16912","13733","1576","1262","322","17"
"São José da Coroa Grande (PE)","2010","14495","9211","2117","2597","503","67"
"São José do Belmonte (PE)","2010","26879","18218","3420","4430","650","161"
"São José do Egito (PE)","2010","26952","17812","3771","4294","971","105"
"São Lourenço da Mata (PE)","2010","86662","50728","13499","19567","2135","732"
"São Vicente Férrer (PE)","2010","14036","10912","1485","1352","247","38"
"Serra Talhada (PE)","2010","65755","39854","10107","13258","2491","45"
"Serrita (PE)","2010","14879","10151","1818","2495","379","36"
"Sertânia (PE)","2010","28074","19118","3654","4215","1036","51"
"Sirinhaém (PE)","2010","32614","22332","4621","4969","564","128"
"Moreilândia (PE)","2010","9106","6131","1314","1308","308","45"
"Solidão (PE)","2010","4728","3422","587","566","101","53"
"Surubim (PE)","2010","49323","32347","6716","8661","1435","164"
"Tabira (PE)","2010","21884","15115","3238","2860","551","120"
"Tacaimbó (PE)","2010","10504","8032","1231","896","252","93"
"Tacaratu (PE)","2010","17778","11905","3158","2276","248","191"
"Tamandaré (PE)","2010","16723","11513","2118","2613","409","71"
"Taquaritinga do Norte (PE)","2010","20794","14017","3240","3142","371","24"
"Terezinha (PE)","2010","5540","4256","603","600","81","-"
"Terra Nova (PE)","2010","7555","5082","1060","1106","280","26"
"Timbaúba (PE)","2010","45027","29766","6839","6709","1439","274"
"Toritama (PE)","2010","28900","21029","3936","3360","460","116"
"Tracunhaém (PE)","2010","10756","7595","1382","1556","177","46"
"Trindade (PE)","2010","20713","15313","2176","2225","686","312"
"Triunfo (PE)","2010","12794","7684","1898","2534","564","114"
"Tupanatinga (PE)","2010","19128","15633","1610","1539","318","28"
"Tuparetama (PE)","2010","6787","4493","957","1010","228","99"
"Venturosa (PE)","2010","13073","9314","1835","1570","333","20"
"Verdejante (PE)","2010","7484","5211","1021","947","284","22"
"Vertente do Lério (PE)","2010","6631","5046","737","646","87","114"
"Vertentes (PE)","2010","15143","11104","1980","1629","354","77"
"Vicência (PE)","2010","25776","16889","4607","3499","695","87"
"Vitória de Santo Antão (PE)","2010","109888","69937","15794","19793","3800","565"
"Xexéu (PE)","2010","11395","8363","1281","1484","235","33"
"Água Branca (AL)","2010","15409","11914","1599","1554","305","37"
"Anadia (AL)","2010","14205","10408","1769","1706","266","56"
"Arapiraca (AL)","2010","177219","110423","29801","29257","7478","259"
"Atalaia (AL)","2010","35017","26393","4558","3269","572","225"
"Barra de Santo Antônio (AL)","2010","11330","8474","1573","1026","171","86"
"Barra de São Miguel (AL)","2010","6171","4268","778","877","237","10"
"Batalha (AL)","2010","13837","9586","1969","2059","224","-"
"Belém (AL)","2010","3797","2816","427","468","83","3"
"Belo Monte (AL)","2010","5717","4720","560","392","43","3"
"Boca da Mata (AL)","2010","20806","14006","3229","3046","458","68"
"Branquinha (AL)","2010","8354","6974","787","483","73","37"
"Cacimbinhas (AL)","2010","8303","6616","837","605","223","23"
"Cajueiro (AL)","2010","16110","11762","2209","1860","196","83"
"Campestre (AL)","2010","5239","3998","464","682","94","-"
"Campo Alegre (AL)","2010","40316","27380","7347","5090","472","27"
"Campo Grande (AL)","2010","7366","5944","823","552","48","-"
"Canapi (AL)","2010","13382","11324","1028","918","107","5"
"Capela (AL)","2010","13576","9896","1579","1678","254","169"
"Carneiros (AL)","2010","6332","4988","720","562","56","6"
"Chã Preta (AL)","2010","5629","4103","654","761","98","13"
"Coité do Nóia (AL)","2010","8928","7212","934","633","149","-"
"Colônia Leopoldina (AL)","2010","15730","12649","1242","1555","248","35"
"Coqueiro Seco (AL)","2010","4528","3227","498","702","90","10"
"Coruripe (AL)","2010","41772","27186","7588","5912","977","109"
"Craíbas (AL)","2010","18304","14676","1931","1517","160","20"
"Delmiro Gouveia (AL)","2010","39151","27202","5691","5340","757","162"
"Dois Riachos (AL)","2010","8733","6999","955","630","94","55"
"Estrela de Alagoas (AL)","2010","14240","11412","1707","906","129","85"
"Feira Grande (AL)","2010","17235","13747","2005","1259","196","28"
"Feliz Deserto (AL)","2010","3531","2569","505","357","100","-"
"Flexeiras (AL)","2010","9806","7770","1083","816","124","14"
"Girau do Ponciano (AL)","2010","29374","23150","3497","2405","259","63"
"Ibateguara (AL)","2010","12084","9875","1178","876","127","29"
"Igaci (AL)","2010","20612","15915","2494","1825","305","73"
"Igreja Nova (AL)","2010","19059","14530","2482","1563","232","253"
"Inhapi (AL)","2010","13905","11933","972","692","108","199"
"Jacaré dos Homens (AL)","2010","4281","3133","638","445","64","-"
"Jacuípe (AL)","2010","5579","4407","556","483","95","38"
"Japaratinga (AL)","2010","6024","4465","675","708","157","20"
"Jaramataia (AL)","2010","4474","3226","676","469","100","3"
"Jequiá da Praia (AL)","2010","9610","7389","1084","795","150","192"
"Joaquim Gomes (AL)","2010","17482","14201","1932","1202","103","44"
"Jundiá (AL)","2010","3431","2601","405","310","93","22"
"Junqueiro (AL)","2010","19523","14519","2490","2093","421","-"
"Lagoa da Canoa (AL)","2010","14910","11256","1846","1566","220","22"
"Limoeiro de Anadia (AL)","2010","22110","16549","2837","2422","216","86"
"Maceió (AL)","2010","784570","372759","125140","201383","80557","4731"
"Major Isidoro (AL)","2010","15417","11682","1816","1509","314","96"
"Maragogi (AL)","2010","22778","16311","3200","2732","514","22"
"Maravilha (AL)","2010","8252","6102","1080","910","124","36"
"Marechal Deodoro (AL)","2010","37356","23614","5456","6864","1404","18"
"Maribondo (AL)","2010","11277","8285","1319","1513","150","10"
"Mar Vermelho (AL)","2010","3009","2265","279","402","54","9"
"Mata Grande (AL)","2010","19406","16003","1688","1293","269","153"
"Matriz de Camaragibe (AL)","2010","18987","13768","2324","2665","204","26"
"Messias (AL)","2010","12423","9285","1454","1519","145","21"
"Minador do Negrão (AL)","2010","4414","3501","476","391","46","-"
"Monteirópolis (AL)","2010","5487","4283","620","531","49","3"
"Murici (AL)","2010","21088","16476","2060","1898","452","201"
"Novo Lino (AL)","2010","9596","7604","909","979","100","5"
"Olho d'Água das Flores (AL)","2010","16468","12429","1821","1957","251","10"
"Olho d'Água do Casado (AL)","2010","6678","5520","630","436","92","-"
"Olho d'Água Grande (AL)","2010","3891","3182","371","308","27","3"
"Olivença (AL)","2010","8990","7615","685","615","69","6"
"Ouro Branco (AL)","2010","8742","6501","1117","1020","104","-"
"Palestina (AL)","2010","4059","3055","503","433","67","-"
"Palmeira dos Índios (AL)","2010","58411","38124","8427","8851","2689","321"
"Pão de Açúcar (AL)","2010","19472","13540","2899","2628","327","79"
"Pariconha (AL)","2010","8167","6432","933","714","88","-"
"Paripueira (AL)","2010","9179","6295","1181","1402","155","145"
"Passo de Camaragibe (AL)","2010","11384","8761","1369","1078","104","71"
"Paulo Jacinto (AL)","2010","6062","4257","772","878","151","4"
"Penedo (AL)","2010","49879","31971","7613","7997","2125","171"
"Piaçabuçu (AL)","2010","14034","9967","2163","1565","316","23"
"Pilar (AL)","2010","26845","18147","3714","4416","529","38"
"Pindoba (AL)","2010","2342","1773","308","205","54","3"
"Piranhas (AL)","2010","17972","13175","2233","2036","416","113"
"Poço das Trincheiras (AL)","2010","10867","8518","1637","651","48","12"
"Porto Calvo (AL)","2010","20344","14318","2415","3162","350","99"
"Porto de Pedras (AL)","2010","6701","5227","681","659","127","7"
"Porto Real do Colégio (AL)","2010","15696","11668","2126","1598","237","67"
"Quebrangulo (AL)","2010","9464","7203","1152","926","167","16"
"Rio Largo (AL)","2010","56359","34560","10026","10395","1198","181"
"Roteiro (AL)","2010","5012","4123","522","309","59","-"
"Santa Luzia do Norte (AL)","2010","5580","3990","612","813","110","55"
"Santana do Ipanema (AL)","2010","35859","25456","4571","4783","930","120"
"Santana do Mundaú (AL)","2010","8918","7122","905","828","63","-"
"São Brás (AL)","2010","5447","3980","626","701","133","6"
"São José da Laje (AL)","2010","18201","13460","2309","2063","358","11"
"São José da Tapera (AL)","2010","23325","18579","2420","1770","407","149"
"São Luís do Quitunde (AL)","2010","25213","19166","2971","2601","292","182"
"São Miguel dos Campos (AL)","2010","43927","28167","6695","7574","1307","184"
"São Miguel dos Milagres (AL)","2010","5770","3954","774","843","185","14"
"São Sebastião (AL)","2010","25585","19773","2792","2397","592","30"
"Satuba (AL)","2010","12234","6714","2214","3036","270","-"
"Senador Rui Palmeira (AL)","2010","10083","7986","1330","685","77","5"
"Tanque d'Arca (AL)","2010","5094","3941","619","495","40","-"
"Taquarana (AL)","2010","15522","12362","1627","1230","268","34"
"Teotônio Vilela (AL)","2010","32229","23551","4515","3766","325","72"
"Traipu (AL)","2010","20322","16421","1790","1488","502","120"
"União dos Palmares (AL)","2010","50126","36411","5918","6367","1159","271"
"Viçosa (AL)","2010","20666","14456","2761","2801","450","198"
"Amparo do São Francisco (SE)","2010","1871","1179","265","384","44","-"
"Aquidabã (SE)","2010","16641","12164","2119","1864","494","-"
"Aracaju (SE)","2010","490097","184960","76983","156285","69402","2467"
"Arauá (SE)","2010","8913","6466","1188","1078","158","22"
"Areia Branca (SE)","2010","13852","10317","1779","1506","215","34"
"Barra dos Coqueiros (SE)","2010","20556","11925","3458","4332","671","170"
"Boquim (SE)","2010","21140","14579","2806","3075","603","77"
"Brejo Grande (SE)","2010","6136","4660","743","622","111","-"
"Campo do Brito (SE)","2010","13989","10013","1832","1735","385","24"
"Canhoba (SE)","2010","3217","2325","414","397","63","17"
"Canindé de São Francisco (SE)","2010","19296","14545","2464","1688","533","66"
"Capela (SE)","2010","24916","16923","3586","3611","731","66"
"Carira (SE)","2010","16451","12514","1919","1661","326","31"
"Carmópolis (SE)","2010","10843","6374","1533","2481","281","173"
"Cedro de São João (SE)","2010","4693","2991","579","946","177","-"
"Cristinápolis (SE)","2010","13143","10209","1386","1274","272","3"
"Cumbe (SE)","2010","3207","2204","386","492","125","-"
"Divina Pastora (SE)","2010","3481","2223","472","728","52","6"
"Estância (SE)","2010","53518","32253","8586","10381","2162","136"
"Feira Nova (SE)","2010","4367","3170","552","592","54","-"
"Frei Paulo (SE)","2010","11654","8826","1327","1278","219","4"
"Gararu (SE)","2010","9244","7090","880","924","330","20"
"General Maynard (SE)","2010","2448","1391","370","591","56","41"
"Gracho Cardoso (SE)","2010","4722","3487","559","568","100","7"
"Ilha das Flores (SE)","2010","6610","4736","930","775","152","17"
"Indiaroba (SE)","2010","12371","8821","1735","1408","388","20"
"Itabaiana (SE)","2010","72845","48895","10668","10548","2607","126"
"Itabaianinha (SE)","2010","31258","24147","3601","2835","667","8"
"Itabi (SE)","2010","4229","2981","590","590","60","9"
"Itaporanga d'Ajuda (SE)","2010","24771","17614","3344","3339","416","59"
"Japaratuba (SE)","2010","13990","8665","2157","2619","505","43"
"Japoatã (SE)","2010","10391","7646","1523","1016","205","-"
"Lagarto (SE)","2010","79387","53894","11477","11254","2543","219"
"Laranjeiras (SE)","2010","21969","12345","3859","5069","540","155"
"Macambira (SE)","2010","5347","3897","751","590","101","8"
"Malhada dos Bois (SE)","2010","2814","1875","456","416","66","-"
"Malhador (SE)","2010","9975","7417","1295","928","303","31"
"Maruim (SE)","2010","13219","8287","2362","2267","231","72"
"Moita Bonita (SE)","2010","9445","7355","1005","847","223","15"
"Monte Alegre de Sergipe (SE)","2010","10863","8205","1459","912","280","6"
"Muribeca (SE)","2010","6118","3969","843","1031","275","-"
"Neópolis (SE)","2010","15294","9844","2273","2588","550","39"
"Nossa Senhora Aparecida (SE)","2010","7198","5469","782","711","226","10"
"Nossa Senhora da Glória (SE)","2010","26928","19330","3396","3325","844","33"
"Nossa Senhora das Dores (SE)","2010","20302","14180","2912","2489","663","58"
"Nossa Senhora de Lourdes (SE)","2010","5133","3429","736","817","147","3"
"Nossa Senhora do Socorro (SE)","2010","131495","72746","24966","30949","2228","606"
"Pacatuba (SE)","2010","10545","7640","1402","1119","251","134"
"Pedra Mole (SE)","2010","2542","1734","362","364","82","-"
"Pedrinhas (SE)","2010","7235","5110","894","919","232","78"
"Pinhão (SE)","2010","4999","3591","612","693","93","10"
"Pirambu (SE)","2010","6732","4544","967","1027","184","10"
"Poço Redondo (SE)","2010","24177","19421","2381","1900","292","183"
"Poço Verde (SE)","2010","18489","14559","1758","1810","352","10"
"Porto da Folha (SE)","2010","22019","15937","3084","2314","560","125"
"Propriá (SE)","2010","23587","13547","3691","5110","1085","153"
"Riachão do Dantas (SE)","2010","15967","12760","1665","1189","264","88"
"Riachuelo (SE)","2010","7508","4569","1262","1433","235","9"
"Ribeirópolis (SE)","2010","14592","10352","1741","1936","507","56"
"Rosário do Catete (SE)","2010","7465","4251","1256","1597","297","65"
"Salgado (SE)","2010","16067","11381","2040","2141","457","47"
"Santa Luzia do Itanhy (SE)","2010","10152","7868","1350","773","129","32"
"Santana do São Francisco (SE)","2010","5738","3708","965","931","114","20"
"Santa Rosa de Lima (SE)","2010","3053","2065","412","456","48","72"
"Santo Amaro das Brotas (SE)","2010","9354","5751","1459","1854","291","-"
"São Cristóvão (SE)","2010","64978","35796","11323","15585","2100","174"
"São Domingos (SE)","2010","8489","6164","1159","955","206","4"
"São Francisco (SE)","2010","2797","2003","313","354","120","7"
"São Miguel do Aleixo (SE)","2010","3098","2389","343","292","73","-"
"Simão Dias (SE)","2010","32386","22997","4261","4143","665","321"
"Siriri (SE)","2010","6459","4035","1030","1215","175","4"
"Telha (SE)","2010","2459","1581","440","350","88","-"
"Tobias Barreto (SE)","2010","40113","30317","4629","3989","1166","12"
"Tomar do Geru (SE)","2010","10446","7996","1211","1035","194","9"
"Umbaúba (SE)","2010","18226","13190","2480","2193","350","12"
"Abaíra (BA)","2010","7331","5221","910","1009","152","39"
"Abaré (BA)","2010","13603","9691","1949","1655","277","30"
"Acajutiba (BA)","2010","11907","8496","1346","1780","201","84"
"Adustina (BA)","2010","13083","10314","1578","974","216","-"
"Água Fria (BA)","2010","13252","10017","1733","1339","149","14"
"Érico Cardoso (BA)","2010","9357","6878","966","1350","155","8"
"Aiquara (BA)","2010","3838","2695","451","567","100","25"
"Alagoinhas (BA)","2010","121195","59618","20484","34660","5892","541"
"Alcobaça (BA)","2010","17242","12185","2436","2230","372","19"
"Almadina (BA)","2010","5403","4199","475","670","47","11"
"Amargosa (BA)","2010","29051","19347","3607","5349","683","66"
"Amélia Rodrigues (BA)","2010","21044","11683","3805","5015","410","130"
"América Dourada (BA)","2010","12809","9443","1718","1353","163","132"
"Anagé (BA)","2010","21653","17605","2075","1707","173","93"
"Andaraí (BA)","2010","11265","8584","1162","1242","235","42"
"Andorinha (BA)","2010","12205","8771","1611","1690","121","11"
"Angical (BA)","2010","11788","7860","1743","2007","136","41"
"Anguera (BA)","2010","8750","6297","981","1328","112","32"
"Antas (BA)","2010","14756","10094","2054","2435","163","9"
"Antônio Cardoso (BA)","2010","9632","7015","1292","1220","75","29"
"Antônio Gonçalves (BA)","2010","9112","6396","1128","1360","166","62"
"Aporá (BA)","2010","14541","10992","1530","1627","259","133"
"Apuarema (BA)","2010","6181","4788","641","683","68","-"
"Aracatu (BA)","2010","11699","9079","1362","1027","164","67"
"Araçás (BA)","2010","9422","6548","1436","1338","84","15"
"Araci (BA)","2010","41569","32712","4046","4064","582","167"
"Aramari (BA)","2010","8489","5903","1150","1151","208","78"
"Arataca (BA)","2010","8200","6308","959","790","66","77"
"Aratuípe (BA)","2010","7161","5030","996","1011","118","6"
"Aurelino Leal (BA)","2010","11178","8236","1263","1459","185","36"
"Baianópolis (BA)","2010","11380","8224","1583","1322","197","55"
"Baixa Grande (BA)","2010","16299","12025","1949","2005","258","62"
"Banzaê (BA)","2010","9722","7254","1208","1139","98","23"
"Barra (BA)","2010","38842","27953","5818","4536","474","60"
"Barra da Estiva (BA)","2010","17412","12479","2108","2401","318","107"
"Barra do Choça (BA)","2010","28492","22657","2919","2449","388","78"
"Barra do Mendes (BA)","2010","11606","7751","1677","1894","207","77"
"Barra do Rocha (BA)","2010","5222","3703","619","799","99","3"
"Barreiras (BA)","2010","113674","52615","19589","34098","6525","849"
"Barro Alto (BA)","2010","11143","7583","1622","1763","175","-"
"Barrocas (BA)","2010","11726","8095","1438","1980","213","-"
"Barro Preto (BA)","2010","5498","3702","732","972","92","-"
"Belmonte (BA)","2010","17691","12149","2589","2689","225","38"
"Belo Campo (BA)","2010","13442","10271","1520","1429","212","10"
"Biritinga (BA)","2010","12359","9673","1196","1349","107","34"
"Boa Nova (BA)","2010","12849","9787","1844","983","182","54"
"Boa Vista do Tupim (BA)","2010","14684","11162","1862","1361","239","60"
"Bom Jesus da Lapa (BA)","2010","51442","31638","7393","10641","1539","230"
"Bom Jesus da Serra (BA)","2010","8386","6602","773","903","69","39"
"Boninal (BA)","2010","11506","8056","1462","1679","201","108"
"Bonito (BA)","2010","11806","8691","1548","1316","173","78"
"Boquira (BA)","2010","18513","12988","2347","2791","342","44"
"Botuporã (BA)","2010","9439","7079","1143","1055","148","14"
"Brejões (BA)","2010","12022","8468","1619","1728","160","47"
"Brejolândia (BA)","2010","9296","6515","1254","1408","80","39"
"Brotas de Macaúbas (BA)","2010","8933","6634","1106","1073","120","-"
"Brumado (BA)","2010","55415","32958","9320","11187","1758","193"
"Buerarema (BA)","2010","15752","10592","2238","2413","379","131"
"Buritirama (BA)","2010","15865","11421","2251","1822","258","114"
"Caatiba (BA)","2010","9500","7416","958","1005","114","8"
"Cabaceiras do Paraguaçu (BA)","2010","13941","10114","1627","2026","142","31"
"Cachoeira (BA)","2010","27147","15448","3895","6974","822","8"
"Caculé (BA)","2010","19205","12830","2135","3559","625","56"
"Caém (BA)","2010","8433","6438","868","1013","100","14"
"Caetanos (BA)","2010","11526","8989","1411","903","145","80"
"Caetité (BA)","2010","40351","27460","4730","6742","1274","144"
"Cafarnaum (BA)","2010","14046","10084","1756","2074","133","-"
"Cairu (BA)","2010","12540","8061","1709","2129","454","186"
"Caldeirão Grande (BA)","2010","10110","7303","1473","1172","114","49"
"Camacan (BA)","2010","25444","18218","3386","3126","431","282"
"Camaçari (BA)","2010","203005","99087","35907","58719","7504","1789"
"Camamu (BA)","2010","27831","19794","4114","3130","530","262"
"Campo Alegre de Lourdes (BA)","2010","22832","17636","2696","2084","243","172"
"Campo Formoso (BA)","2010","54525","39095","7212","6752","1274","192"
"Canápolis (BA)","2010","7705","5677","876","1139","14","-"
"Canarana (BA)","2010","19572","13939","2673","2611","237","112"
"Canavieiras (BA)","2010","26781","19187","3110","3679","684","121"
"Candeal (BA)","2010","7558","5461","774","1237","79","7"
"Candeias (BA)","2010","70360","35169","11838","20462","1467","1424"
"Candiba (BA)","2010","11327","8240","1200","1660","217","10"
"Cândido Sales (BA)","2010","23173","16596","3415","2651","427","84"
"Cansanção (BA)","2010","26781","20444","2743","3126","433","35"
"Canudos (BA)","2010","12710","9654","1337","1537","172","10"
