"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Carnaubal (CE)","2021","142","141","1314","1193","1107.24","26154","1.7","1816.97"
"Cascavel (CE)","2021","959","912","10551","9523","8876.99","189939","1.5","1645.91"
"Catarina (CE)","2021","110","110","1014","908","965.73","23633","1.7","1882.41"
"Catunda (CE)","2021","48","47","610","573","735.77","21594","2.1","2257.59"
"Caucaia (CE)","2021","4023","3839","49040","44478","42119.93","1180755","2.0","2156.40"
"Cedro (CE)","2021","230","224","1618","1384","1337.84","32420","1.7","1864.10"
"Chaval (CE)","2021","104","103","1662","1571","1521.04","21247","1.0","1074.50"
"Choró (CE)","2021","91","89","698","652","731.40","19871","1.9","2089.93"
"Chorozinho (CE)","2021","259","257","2110","1821","1815.36","38564","1.5","1634.07"
"Coreaú (CE)","2021","214","209","1648","1398","1413.42","29478","1.5","1604.29"
"Crateús (CE)","2021","1236","1187","8377","6846","6371.91","164289","1.8","1983.34"
"Crato (CE)","2021","2314","2226","19996","17449","16993.05","457958","1.9","2073.05"
"Croatá (CE)","2021","116","111","1057","948","930.98","24008","1.8","1983.72"
"Cruz (CE)","2021","598","577","2855","2258","2450.46","58154","1.7","1825.51"
"Deputado Irapuan Pinheiro (CE)","2021","118","114","1101","633","612.17","15393","1.8","1934.21"
"Ereré (CE)","2021","40","40","655","618","587.88","13364","1.6","1748.65"
"Eusébio (CE)","2021","3479","3429","44735","39335","38776.16","1200369","2.2","2381.26"
"Farias Brito (CE)","2021","190","186","1428","1261","1205.98","29823","1.7","1902.27"
"Forquilha (CE)","2021","273","269","2864","2574","2438.83","52993","1.5","1671.44"
"Fortaleza (CE)","2021","71796","65610","848283","754786","739054.64","28566758","2.7","2973.32"
"Fortim (CE)","2021","305","302","2077","1705","1686.63","37181","1.5","1695.76"
"Frecheirinha (CE)","2021","225","216","4588","4391","3609.41","69896","1.4","1489.60"
"General Sampaio (CE)","2021","83","83","716","638","595.95","14339","1.7","1850.87"
"Graça (CE)","2021","120","118","896","797","766.11","22263","2.0","2235.41"
"Granja (CE)","2021","423","402","4202","3367","2827.29","71354","1.8","1941.36"
"Granjeiro (CE)","2021","29","29","516","505","529.38","10658","1.4","1548.73"
"Groaíras (CE)","2021","165","164","1044","878","843.05","23344","1.9","2130.00"
"Guaiúba (CE)","2021","131","129","2057","1919","1761.69","39998","1.6","1746.48"
"Guaraciaba do Norte (CE)","2021","661","643","3521","2865","2696.07","66729","1.7","1903.89"
"Guaramiranga (CE)","2021","115","113","1075","940","884.03","18230","1.4","1586.23"
"Hidrolândia (CE)","2021","213","211","1315","1120","1140.24","26038","1.6","1756.56"
"Horizonte (CE)","2021","969","920","20527","19528","19648.43","461472","1.6","1806.65"
"Ibaretama (CE)","2021","94","94","986","920","915.73","22987","1.8","1930.94"
"Ibiapina (CE)","2021","214","206","1687","1481","1464.54","40080","1.9","2105.12"
"Ibicuitinga (CE)","2021","86","85","960","888","842.40","20446","1.7","1867.05"
"Icapuí (CE)","2021","329","324","4038","3632","3153.96","80008","1.8","1951.34"
"Icó (CE)","2021","685","671","5573","4495","4171.15","93997","1.6","1733.47"
"Iguatu (CE)","2021","2164","2055","16847","14384","13846.45","311618","1.6","1731.18"
"Independência (CE)","2021","267","260","1523","1291","1265.80","30112","1.7","1829.91"
"Ipaporanga (CE)","2021","94","93","778","689","807.25","15897","1.4","1514.80"
"Ipaumirim (CE)","2021","91","87","1086","991","944.85","19803","1.5","1612.21"
"Ipu (CE)","2021","553","544","3878","3314","3257.96","73003","1.6","1723.66"
"Ipueiras (CE)","2021","343","338","2491","2154","2216.76","53922","1.7","1871.11"
"Iracema (CE)","2021","229","222","1152","920","909.37","26807","2.1","2267.58"
"Irauçuba (CE)","2021","201","197","2070","1871","1690.15","38966","1.6","1773.46"
"Itaiçaba (CE)","2021","95","94","756","676","639.18","15459","1.7","1860.48"
"Itaitinga (CE)","2021","725","701","8614","7741","7219.76","212279","2.1","2261.73"
"Itapajé (CE)","2021","472","462","5785","5209","5213.10","117905","1.6","1739.78"
"Itapipoca (CE)","2021","1468","1408","16786","15175","14073.19","364622","1.8","1993.00"
"Itapiúna (CE)","2021","154","153","956","806","742.11","20537","1.9","2128.76"
"Itarema (CE)","2021","484","466","4111","2976","2822.55","88705","2.2","2417.48"
"Itatira (CE)","2021","138","132","1499","1367","1251.19","28962","1.6","1780.61"
"Jaguaretama (CE)","2021","221","219","1397","1154","1098.63","27857","1.8","1950.45"
"Jaguaribara (CE)","2021","110","106","1130","1022","1002.62","25690","1.8","1970.98"
"Jaguaribe (CE)","2021","676","652","4099","3362","3430.99","92393","1.9","2071.45"
"Jaguaruana (CE)","2021","613","599","4281","3648","3564.30","72664","1.4","1568.20"
"Jardim (CE)","2021","239","237","1880","1621","1616.82","41529","1.8","1975.82"
"Jati (CE)","2021","46","46","731","685","602.51","13107","1.5","1673.42"
"Jijoca de Jericoacoara (CE)","2021","955","890","5739","4626","4025.97","86120","1.5","1645.47"
"Juazeiro do Norte (CE)","2021","6520","6157","58018","50397","47559.76","1236923","1.8","2000.60"
"Jucás (CE)","2021","209","205","1847","1644","1770.43","50931","2.0","2212.90"
"Lavras da Mangabeira (CE)","2021","277","266","2058","1750","1706.75","43524","1.8","1961.64"
"Limoeiro do Norte (CE)","2021","1215","1164","9480","8140","8086.21","210925","1.8","2006.51"
"Madalena (CE)","2021","185","181","1434","1291","1273.74","28707","1.6","1733.68"
"Maracanaú (CE)","2021","4221","3988","66202","61622","61815.77","1803414","2.0","2244.16"
"Maranguape (CE)","2021","1156","1095","14527","13212","14030.38","325759","1.6","1786.01"
"Marco (CE)","2021","425","403","3332","2894","2921.47","72119","1.7","1898.90"
"Martinópole (CE)","2021","71","70","949","886","840.94","18190","1.5","1663.93"
"Massapê (CE)","2021","346","338","3095","2795","2604.82","60526","1.6","1787.39"
"Mauriti (CE)","2021","433","417","3384","2903","2815.13","70839","1.8","1935.66"
"Meruoca (CE)","2021","137","137","1187","1059","984.41","24977","1.8","1951.74"
"Milagres (CE)","2021","213","211","2198","1958","2219.87","66441","2.1","2302.32"
"Milhã (CE)","2021","167","162","1245","701","696.84","19926","2.0","2199.61"
"Miraíma (CE)","2021","66","65","1317","1261","1482.48","23317","1.1","1209.88"
"Missão Velha (CE)","2021","365","356","3248","2870","2858.28","70511","1.7","1897.63"
"Mombaça (CE)","2021","431","419","3386","2921","2700.09","58517","1.5","1667.10"
"Monsenhor Tabosa (CE)","2021","170","164","1323","1167","1176.20","26129","1.6","1708.85"
"Morada Nova (CE)","2021","675","646","9881","9201","8846.32","203240","1.6","1767.27"
"Moraújo (CE)","2021","56","54","699","646","607.94","12127","1.4","1534.48"
"Morrinhos (CE)","2021","193","188","1194","1027","944.36","21591","1.6","1758.72"
"Mucambo (CE)","2021","100","98","1503","1405","1233.40","21018","1.2","1310.82"
"Mulungu (CE)","2021","92","92","1089","1012","894.49","19349","1.5","1663.93"
"Nova Olinda (CE)","2021","204","199","1546","1359","1351.27","30041","1.6","1710.15"
"Nova Russas (CE)","2021","321","306","2623","2239","2536.23","56448","1.6","1712.06"
"Novo Oriente (CE)","2021","295","288","1805","1546","1482.19","37416","1.8","1941.84"
"Ocara (CE)","2021","203","201","1280","975","1412.12","37324","1.8","2033.17"
"Orós (CE)","2021","182","173","1651","1476","1353.99","33598","1.7","1908.80"
"Pacajus (CE)","2021","915","890","9009","8023","7897.03","193096","1.7","1880.90"
"Pacatuba (CE)","2021","715","636","8634","7932","7162.61","170942","1.7","1835.83"
"Pacoti (CE)","2021","122","119","1014","890","800.74","20828","1.8","2000.84"
"Pacujá (CE)","2021","63","63","513","457","508.50","11335","1.6","1714.75"
"Palhano (CE)","2021","90","90","926","849","747.03","16878","1.6","1737.93"
"Palmácia (CE)","2021","66","65","849","793","738.06","18340","1.7","1911.42"
"Paracuru (CE)","2021","479","459","3848","3336","3335.95","88955","1.9","2051.20"
"Paraipaba (CE)","2021","444","431","3883","3389","3233.80","76089","1.6","1809.95"
"Parambu (CE)","2021","280","274","2237","2026","2010.83","27916","1.0","1067.92"
"Paramoti (CE)","2021","127","127","783","695","684.00","16343","1.7","1837.93"
"Pedra Branca (CE)","2021","290","279","3422","3113","3096.68","61035","1.4","1516.15"
"Penaforte (CE)","2021","103","102","1020","924","893.34","20883","1.6","1798.17"
"Pentecoste (CE)","2021","332","322","4956","4617","4274.25","96075","1.6","1729.05"
"Pereiro (CE)","2021","137","134","4812","4670","4145.69","95234","1.6","1767.07"
"Pindoretama (CE)","2021","334","326","2528","2130","1929.80","42450","1.5","1692.09"
"Piquet Carneiro (CE)","2021","99","95","1052","954","941.34","23490","1.7","1919.50"
"Pires Ferreira (CE)","2021","51","51","784","738","694.11","11625","1.2","1288.31"
"Poranga (CE)","2021","100","100","927","832","804.70","19038","1.7","1819.84"
"Porteiras (CE)","2021","131","130","1231","1107","1103.67","27885","1.8","1943.51"
"Potengi (CE)","2021","79","77","806","741","757.85","16379","1.5","1662.53"
"Potiretama (CE)","2021","63","62","848","777","685.17","14214","1.5","1595.80"
"Quiterianópolis (CE)","2021","253","251","1735","1269","1254.99","25357","1.4","1554.26"
"Quixadá (CE)","2021","1178","1109","9152","8004","7550.83","200792","1.9","2045.54"
"Quixelô (CE)","2021","136","127","1179","1051","1005.31","23760","1.7","1818.02"
"Quixeramobim (CE)","2021","1026","993","13089","12042","11756.47","272548","1.6","1783.29"
"Quixeré (CE)","2021","301","289","3994","3677","3730.61","105222","2.0","2169.62"
"Redenção (CE)","2021","302","284","3420","3151","3020.19","149143","3.5","3798.60"
"Reriutaba (CE)","2021","286","284","1744","1452","1442.29","30154","1.5","1608.22"
"Russas (CE)","2021","1184","1134","12351","11106","10640.65","229586","1.5","1659.71"
"Saboeiro (CE)","2021","102","101","1043","958","910.76","21681","1.7","1831.22"
"Salitre (CE)","2021","69","69","1334","1268","1356.02","29733","1.5","1686.68"
"Santana do Acaraú (CE)","2021","395","392","1974","1662","1635.64","40421","1.7","1900.98"
"Santana do Cariri (CE)","2021","113","108","1228","1149","1120.87","27193","1.7","1866.19"
"Santa Quitéria (CE)","2021","422","408","4790","4361","4213.63","96011","1.6","1752.75"
"São Benedito (CE)","2021","802","781","4948","4222","4080.68","94670","1.6","1784.58"
"São Gonçalo do Amarante (CE)","2021","767","736","14387","13609","13480.53","666880","3.5","3805.37"
"São João do Jaguaribe (CE)","2021","44","42","582","546","532.10","12035","1.6","1739.80"
"São Luís do Curu (CE)","2021","108","106","784","690","647.29","16406","1.8","1949.65"
"Senador Pompeu (CE)","2021","312","301","4089","3164","3321.63","65477","1.4","1516.33"
"Senador Sá (CE)","2021","43","43","371","336","339.34","7086","1.5","1606.23"
"Sobral (CE)","2021","3568","3382","52664","48485","46961.37","1324050","2.0","2168.80"
"Solonópole (CE)","2021","311","303","2261","1953","1962.07","37452","1.3","1468.33"
"Tabuleiro do Norte (CE)","2021","485","474","3121","2584","2454.83","58175","1.7","1822.94"
"Tamboril (CE)","2021","210","206","1495","1228","1329.06","38235","2.0","2212.94"
"Tarrafas (CE)","2021","60","58","570","527","522.11","12129","1.6","1787.05"
"Tauá (CE)","2021","1003","962","5307","4414","4901.50","95669","1.4","1501.41"
"Tejuçuoca (CE)","2021","110","110","1366","1263","1249.20","28189","1.6","1735.84"
"Tianguá (CE)","2021","1759","1684","11024","9167","8923.72","212486","1.7","1831.64"
"Trairi (CE)","2021","532","508","4368","3746","3782.65","99101","1.8","2015.29"
"Tururu (CE)","2021","83","82","1200","1116","1023.27","22815","1.6","1715.11"
"Ubajara (CE)","2021","521","500","3360","2878","2752.56","74530","1.9","2082.82"
"Umari (CE)","2021","40","39","601","534","554.37","12420","1.6","1723.32"
"Umirim (CE)","2021","95","93","1314","1213","1164.29","29284","1.8","1934.73"
"Uruburetama (CE)","2021","150","144","3138","2993","2615.36","53966","1.4","1587.25"
"Uruoca (CE)","2021","91","90","1526","1443","1339.98","36209","1.9","2078.63"
"Varjota (CE)","2021","381","378","2550","2142","1879.22","35062","1.3","1435.19"
"Várzea Alegre (CE)","2021","512","494","3614","3117","3081.94","61459","1.4","1533.97"
"Viçosa do Ceará (CE)","2021","513","491","3283","2753","3050.04","69397","1.6","1750.21"
"Acari (RN)","2021","189","181","1291","1111","1062.09","22288","1.5","1614.27"
"Açu (RN)","2021","1015","983","7656","6455","6312.10","151884","1.7","1850.95"
"Afonso Bezerra (RN)","2021","87","87","1253","1172","1283.59","35802","2.0","2145.55"
"Água Nova (RN)","2021","30","30","271","244","240.02","5187","1.5","1662.45"
"Alexandria (RN)","2021","201","196","1046","868","908.46","18374","1.4","1555.84"
"Almino Afonso (RN)","2021","67","66","323","263","229.89","6482","2.0","2169.00"
"Alto do Rodrigues (RN)","2021","225","218","3759","3541","3277.30","106998","2.3","2511.41"
"Angicos (RN)","2021","220","218","1276","1036","1039.63","25887","1.7","1915.38"
"Antônio Martins (RN)","2021","84","83","389","326","319.37","8169","1.8","1967.59"
"Apodi (RN)","2021","495","474","4448","3904","3275.28","76784","1.6","1803.34"
"Areia Branca (RN)","2021","393","378","4854","4425","4280.39","138077","2.3","2481.39"
"Arês (RN)","2021","85","84","3141","3053","2637.13","61254","1.6","1786.74"
"Campo Grande (RN)","2021","77","74","527","460","456.28","11738","1.8","1978.93"
"Baía Formosa (RN)","2021","116","116","3247","3128","2360.28","58879","1.7","1918.92"
"Baraúna (RN)","2021","349","344","4840","4478","4162.10","117414","2.0","2170.01"
"Barcelona (RN)","2021","32","31","538","520","451.69","10079","1.6","1716.50"
"Bento Fernandes (RN)","2021","27","27","477","452","420.48","11382","1.9","2082.26"
"Bodó (RN)","2021","31","28","421","399","376.36","10452","1.9","2136.26"
"Bom Jesus (RN)","2021","95","95","663","580","537.79","15771","2.1","2255.88"
"Brejinho (RN)","2021","147","142","1132","978","974.12","21860","1.6","1726.22"
"Caiçara do Norte (RN)","2021","59","58","771","707","610.63","13707","1.6","1726.69"
"Caiçara do Rio do Vento (RN)","2021","32","32","344","320","282.41","8661","2.1","2359.15"
"Caicó (RN)","2021","1725","1625","12748","10335","10146.62","242786","1.7","1840.60"
"Campo Redondo (RN)","2021","87","87","790","723","723.06","19521","1.9","2076.72"
"Canguaretama (RN)","2021","365","354","3510","3145","3337.58","77155","1.6","1778.23"
"Caraúbas (RN)","2021","326","315","2622","2264","2074.91","52176","1.8","1934.33"
"Carnaúba dos Dantas (RN)","2021","188","186","1399","1212","1219.36","21893","1.3","1381.11"
"Carnaubais (RN)","2021","108","105","871","761","725.97","19582","1.9","2074.92"
"Ceará-Mirim (RN)","2021","836","793","7496","6561","6444.28","161081","1.7","1922.77"
"Cerro Corá (RN)","2021","131","123","943","820","830.30","21719","1.8","2012.15"
"Coronel Ezequiel (RN)","2021","28","28","312","284","302.18","7828","1.8","1992.79"
"Coronel João Pessoa (RN)","2021","23","23","315","295","324.53","8483","1.8","2010.71"
"Cruzeta (RN)","2021","128","126","1060","923","916.72","19020","1.5","1596.01"
"Currais Novos (RN)","2021","1035","989","6557","5418","5453.89","130279","1.7","1837.49"
"Doutor Severiano (RN)","2021","43","43","454","421","406.11","12179","2.1","2306.80"
"Parnamirim (RN)","2021","5616","5420","48551","42215","43325.98","1082733","1.7","1922.34"
"Encanto (RN)","2021","55","55","453","408","400.25","10475","1.8","2013.21"
"Equador (RN)","2021","90","88","405","331","315.05","6201","1.4","1514.14"
"Espírito Santo (RN)","2021","58","57","825","773","708.40","13989","1.4","1519.07"
"Extremoz (RN)","2021","512","496","3901","3306","3290.80","83511","1.8","1952.08"
"Felipe Guerra (RN)","2021","61","58","571","508","473.63","12187","1.8","1979.24"
"Fernando Pedroza (RN)","2021","41","41","308","249","286.50","7880","1.9","2115.66"
"Florânia (RN)","2021","150","142","896","749","710.87","15694","1.5","1698.27"
"Francisco Dantas (RN)","2021","24","24","280","262","256.14","6179","1.7","1855.74"
"Frutuoso Gomes (RN)","2021","66","65","270","202","201.49","3163","1.1","1207.68"
"Galinhos (RN)","2021","40","39","682","632","639.55","18019","2.0","2167.22"
"Goianinha (RN)","2021","379","376","4335","3924","3724.14","96628","1.8","1995.88"
"Governador Dix-Sept Rosado (RN)","2021","145","142","1458","1320","1250.18","34086","1.9","2097.32"
"Grossos (RN)","2021","126","119","1672","1552","1417.00","34715","1.7","1884.52"
"Guamaré (RN)","2021","229","223","3608","3378","3546.33","169004","3.3","3665.85"
"Ielmo Marinho (RN)","2021","37","36","1013","978","864.12","21153","1.7","1883.03"
"Ipanguaçu (RN)","2021","151","146","1694","1575","1592.27","34701","1.5","1676.41"
"Ipueira (RN)","2021","26","25","284","267","254.63","6209","1.7","1875.79"
"Itajá (RN)","2021","116","116","1110","987","931.74","19531","1.5","1612.42"
"Itaú (RN)","2021","64","64","480","426","401.00","9580","1.7","1837.69"
"Jaçanã (RN)","2021","76","76","517","428","427.81","11651","1.9","2094.89"
"Jandaíra (RN)","2021","57","57","1166","1114","901.12","22401","1.7","1912.26"
"Janduís (RN)","2021","71","69","689","627","644.87","12183","1.3","1453.22"
"Januário Cicco (RN)","2021","45","44","424","383","396.96","11416","2.0","2212.25"
"Japi (RN)","2021","29","29","364","343","343.37","8851","1.8","1982.93"
"Jardim de Angicos (RN)","2021","19","17","304","293","298.23","7070","1.7","1823.56"
"Jardim de Piranhas (RN)","2021","254","244","1448","1185","1202.68","26639","1.5","1703.82"
"Jardim do Seridó (RN)","2021","312","299","1915","1600","1536.00","32488","1.5","1627.00"
"João Câmara (RN)","2021","632","614","3935","3279","3184.98","106261","2.3","2566.40"
"João Dias (RN)","2021","15","15","279","268","239.37","5328","1.6","1712.08"
"José da Penha (RN)","2021","53","52","469","426","417.81","9309","1.6","1713.82"
"Jucurutu (RN)","2021","255","240","2508","2251","2405.71","54902","1.6","1755.52"
"Jundiá (RN)","2021","21","20","371","359","346.27","7684","1.6","1706.97"
"Lagoa d'Anta (RN)","2021","40","40","458","422","417.79","11240","1.9","2069.42"
"Lagoa de Pedras (RN)","2021","47","46","584","556","516.03","12056","1.6","1797.08"
"Lagoa de Velhos (RN)","2021","28","28","453","435","440.64","10189","1.6","1778.65"
"Lagoa Nova (RN)","2021","212","205","1498","1267","1123.77","31946","2.0","2186.71"
"Lagoa Salgada (RN)","2021","75","75","761","693","713.06","16958","1.7","1829.40"
"Lajes (RN)","2021","115","113","982","838","792.71","19445","1.7","1886.91"
"Lajes Pintadas (RN)","2021","32","32","343","314","315.10","8491","1.9","2072.76"
"Lucrécia (RN)","2021","118","117","385","261","267.15","7203","1.9","2074.13"
"Luís Gomes (RN)","2021","46","46","490","453","447.33","12250","1.9","2106.44"
"Macaíba (RN)","2021","1133","1099","12718","11405","11075.00","292508","1.8","2031.66"
"Macau (RN)","2021","444","431","3674","3209","3109.09","91222","2.1","2256.96"
"Major Sales (RN)","2021","57","55","310","261","249.50","8473","2.4","2612.40"
"Marcelino Vieira (RN)","2021","82","81","425","358","347.10","8663","1.7","1919.81"
"Martins (RN)","2021","159","152","946","767","749.91","16358","1.5","1677.97"
"Maxaranguape (RN)","2021","104","104","1339","1207","1135.59","25821","1.6","1749.10"
"Messias Targino (RN)","2021","48","48","376","323","320.83","8956","2.0","2147.35"
"Montanhas (RN)","2021","70","68","825","771","761.67","18271","1.7","1845.24"
"Monte Alegre (RN)","2021","193","190","2529","2343","2123.11","54460","1.8","1973.15"
"Monte das Gameleiras (RN)","2021","30","30","372","348","338.82","9039","1.9","2052.15"
"Mossoró (RN)","2021","7658","7223","68899","59873","57577.64","1828433","2.2","2442.77"
"Natal (RN)","2021","27157","25381","322911","287379","283111.39","12232090","3.0","3323.53"
"Nísia Floresta (RN)","2021","351","340","3576","3157","2489.99","65747","1.8","2031.13"
"Nova Cruz (RN)","2021","468","448","3304","2864","2978.97","74019","1.7","1911.33"
"Olho d'Água do Borges (RN)","2021","47","46","408","361","333.50","7702","1.6","1776.51"
"Ouro Branco (RN)","2021","88","85","564","488","443.67","9795","1.5","1698.20"
"Paraná (RN)","2021","24","24","220","193","193.74","6536","2.4","2595.18"
"Paraú (RN)","2021","29","29","260","237","238.73","6438","1.9","2074.38"
"Parazinho (RN)","2021","63","59","380","333","329.31","11821","2.5","2761.29"
"Parelhas (RN)","2021","665","631","4226","3502","3436.38","73342","1.5","1641.76"
"Rio do Fogo (RN)","2021","91","90","1065","972","950.71","25858","1.9","2092.21"
"Passa e Fica (RN)","2021","148","145","1212","1085","1029.84","20840","1.4","1556.61"
"Passagem (RN)","2021","30","30","458","419","465.91","9370","1.4","1546.95"
"Patu (RN)","2021","183","177","1177","1015","973.90","22265","1.6","1758.55"
"Santa Maria (RN)","2021","44","44","507","466","435.61","11896","1.9","2100.59"
"Pau dos Ferros (RN)","2021","841","818","5045","4116","4244.37","102714","1.7","1861.54"
"Pedra Grande (RN)","2021","48","48","571","513","1010.04","40217","2.8","3062.84"
"Pedra Preta (RN)","2021","21","21","391","376","342.36","8922","1.8","2004.56"
"Pedro Avelino (RN)","2021","61","61","657","591","539.52","14979","1.9","2135.63"
"Pedro Velho (RN)","2021","87","86","1263","1187","1167.17","30721","1.8","2024.66"
"Pendências (RN)","2021","112","108","1915","1816","1927.10","44579","1.6","1779.45"
"Pilões (RN)","2021","38","38","258","228","220.43","5647","1.8","1970.65"
"Poço Branco (RN)","2021","45","45","761","713","624.96","17917","2.0","2205.35"
"Portalegre (RN)","2021","86","86","568","493","462.39","11221","1.7","1866.71"
"Porto do Mangue (RN)","2021","45","45","741","687","641.55","16770","1.8","2010.79"
"Serra Caiada (RN)","2021","90","87","937","849","760.71","17484","1.6","1767.99"
"Pureza (RN)","2021","62","62","773","702","708.20","19643","1.9","2133.60"
"Rafael Fernandes (RN)","2021","54","53","279","230","231.91","5880","1.8","1950.52"
"Rafael Godeiro (RN)","2021","30","30","366","341","331.52","8848","1.9","2053.02"
"Riacho da Cruz (RN)","2021","28","28","286","265","254.44","6679","1.8","2019.21"
"Riacho de Santana (RN)","2021","22","22","318","299","273.96","7011","1.8","1968.59"
"Riachuelo (RN)","2021","59","59","964","910","906.13","25148","1.9","2134.83"
"Rodolfo Fernandes (RN)","2021","37","36","411","376","368.95","8988","1.7","1873.95"
"Tibau (RN)","2021","123","120","936","811","758.20","18550","1.7","1882.02"
"Ruy Barbosa (RN)","2021","21","21","320","299","299.32","8525","2.0","2190.81"
"Santa Cruz (RN)","2021","649","631","4310","3573","3630.50","87883","1.7","1862.06"
"Santana do Matos (RN)","2021","167","161","977","818","795.63","21421","1.9","2071.00"
"Santana do Seridó (RN)","2021","60","59","513","455","431.75","9604","1.6","1711.12"
"Santo Antônio (RN)","2021","286","276","2196","1898","1911.95","45971","1.7","1849.53"
"São Bento do Norte (RN)","2021","68","68","1191","1134","924.88","25814","2.0","2146.94"
"São Bento do Trairí (RN)","2021","26","26","338","311","306.56","8306","1.9","2084.15"
"São Fernando (RN)","2021","48","48","587","518","467.15","11358","1.7","1870.24"
"São Francisco do Oeste (RN)","2021","39","39","606","571","529.24","11350","1.5","1649.62"
"São Gonçalo do Amarante (RN)","2021","1160","1121","15096","13852","13746.22","357879","1.8","2002.67"
"São João do Sabugi (RN)","2021","81","72","468","385","376.51","9316","1.7","1903.23"
"São José de Mipibu (RN)","2021","657","638","6762","6036","6206.35","135831","1.5","1683.52"
"São José do Campestre (RN)","2021","119","117","994","864","780.88","22674","2.0","2233.59"
"São José do Seridó (RN)","2021","101","99","1240","1100","1078.44","19122","1.2","1363.95"
"São Miguel (RN)","2021","321","313","1487","1158","1229.38","38109","2.2","2384.51"
"São Miguel do Gostoso (RN)","2021","256","253","1578","1297","1228.57","29154","1.7","1825.40"
"São Paulo do Potengi (RN)","2021","215","207","1895","1674","1539.63","37732","1.7","1885.17"
"São Pedro (RN)","2021","36","34","391","359","329.69","8659","1.8","2020.26"
"São Rafael (RN)","2021","67","67","505","447","421.08","10724","1.8","1959.06"
"São Tomé (RN)","2021","110","109","692","592","678.41","18766","1.9","2127.83"
"São Vicente (RN)","2021","97","96","780","702","698.59","16008","1.6","1762.63"
"Senador Elói de Souza (RN)","2021","34","34","495","460","422.44","10265","1.7","1869.14"
"Senador Georgino Avelino (RN)","2021","29","28","396","373","351.20","9263","1.8","2028.88"
"Serra de São Bento (RN)","2021","68","68","336","277","283.00","4618","1.1","1255.12"
"Serra do Mel (RN)","2021","186","185","1247","977","1145.52","43575","2.7","2926.10"
"Serra Negra do Norte (RN)","2021","135","130","995","867","844.97","16232","1.3","1477.74"
"Serrinha (RN)","2021","53","52","577","539","508.59","13199","1.8","1996.33"
"Serrinha dos Pintos (RN)","2021","86","86","352","283","274.54","6672","1.7","1869.53"
"Severiano Melo (RN)","2021","56","55","570","508","479.20","11960","1.7","1919.87"
"Sítio Novo (RN)","2021","34","33","327","299","294.07","8302","2.0","2171.61"
"Taboleiro Grande (RN)","2021","33","32","387","362","343.42","7298","1.5","1634.61"
"Taipu (RN)","2021","49","48","808","755","727.23","20480","2.0","2166.28"
"Tangará (RN)","2021","160","159","1320","1143","1140.93","31254","1.9","2107.17"
"Tenente Ananias (RN)","2021","140","138","682","551","551.04","12185","1.5","1701.00"
"Tenente Laurentino Cruz (RN)","2021","77","76","648","574","524.54","13205","1.8","1936.46"
"Tibau do Sul (RN)","2021","749","730","5307","4261","3718.45","81026","1.5","1676.16"
"Timbaúba dos Batistas (RN)","2021","45","44","326","275","288.53","6382","1.5","1701.55"
"Touros (RN)","2021","399","391","3279","2834","2636.94","72410","1.9","2112.30"
"Triunfo Potiguar (RN)","2021","32","31","385","364","343.36","8605","1.8","1927.69"
"Umarizal (RN)","2021","233","225","1024","808","772.44","20679","1.9","2059.35"
"Upanema (RN)","2021","135","130","1438","1291","1197.72","32229","1.9","2069.87"
"Várzea (RN)","2021","49","48","476","429","401.41","8931","1.6","1711.42"
"Venha-Ver (RN)","2021","36","36","330","311","306.79","8777","2.0","2200.77"
"Vera Cruz (RN)","2021","104","101","865","758","723.08","18136","1.8","1929.34"
"Viçosa (RN)","2021","16","15","216","200","196.02","4859","1.7","1906.78"
"Vila Flor (RN)","2021","28","28","365","339","316.13","7374","1.6","1794.28"
"Água Branca (PB)","2021","106","103","818","728","725.51","14840","1.4","1573.40"
"Aguiar (PB)","2021","53","51","281","237","378.57","9220","1.7","1873.47"
"Alagoa Grande (PB)","2021","254","248","2239","2019","2004.91","47061","1.6","1805.62"
"Alagoa Nova (PB)","2021","148","146","2261","2137","2154.46","47593","1.5","1699.25"
"Alagoinha (PB)","2021","107","105","1033","947","900.26","23106","1.8","1974.32"
"Alcantil (PB)","2021","44","44","506","466","447.15","11109","1.7","1911.15"
"Algodão de Jandaíra (PB)","2021","13","13","289","278","283.27","7144","1.8","1939.98"
"Alhandra (PB)","2021","237","229","5759","5526","5351.41","164905","2.2","2370.40"
"São João do Rio do Peixe (PB)","2021","266","263","1484","1239","1431.03","36919","1.8","1984.53"
"Amparo (PB)","2021","19","19","352","341","335.64","7068","1.5","1619.89"
"Aparecida (PB)","2021","88","88","635","533","575.53","13665","1.7","1826.38"
"Araçagi (PB)","2021","141","141","1221","1092","1075.16","27453","1.8","1964.12"
"Arara (PB)","2021","117","111","860","775","766.81","17576","1.6","1763.20"
"Araruna (PB)","2021","169","163","1489","1347","1320.82","35697","1.9","2078.94"
